au_lj_relax_2.out:  Final energy =    -118.01863789 eV	au_lj_supercell_2.out:  Total lattice energy       =        -125.82436111 eV    
au_lj_relax_3.out:  Final energy =    -416.84892787 eV	au_lj_supercell_3.out:  Total lattice energy       =        -424.65721868 eV    
au_lj_relax_4.out:  Final energy =    -998.78748920 eV	au_lj_supercell_4.out:  Total lattice energy       =       -1006.59488887 eV    
au_lj_relax_5.out:  Final energy =   -1958.19956384 eV	au_lj_supercell_5.out:  Total lattice energy       =       -1966.00564233 eV    
au_lj_relax_6.out:  Final energy =   -3389.45360534 eV	au_lj_supercell_6.out:  Total lattice energy       =       -3397.25774778 eV    
au_lj_relax_7.out:  Final energy =   -5386.91802861 eV	au_lj_supercell_7.out:  Total lattice energy       =       -5394.71947731 eV    
au_lj_relax_8.out:  Final energy =   -8044.96123756 eV	au_lj_supercell_8.out:  Total lattice energy       =       -8052.75911096 eV    
