au_lj_single_4.06.out:  a =       4.0600    alpha =  90.0000	au_lj_single_4.06.out:  Total lattice energy       =         -15.71704572 eV    
au_lj_single_4.07.out:  a =       4.0700    alpha =  90.0000	au_lj_single_4.07.out:  Total lattice energy       =         -15.72604656 eV    
au_lj_single_4.08.out:  a =       4.0800    alpha =  90.0000	au_lj_single_4.08.out:  Total lattice energy       =         -15.72790039 eV    
au_lj_single_4.09.out:  a =       4.0900    alpha =  90.0000	au_lj_single_4.09.out:  Total lattice energy       =         -15.72308623 eV    
au_lj_single_4.10.out:  a =       4.1000    alpha =  90.0000	au_lj_single_4.10.out:  Total lattice energy       =         -15.71185618 eV    
