au_eam_single_4.06.out:  a =       4.0600    alpha =  90.0000	au_eam_single_4.06.out:  Total lattice energy       =         -15.10929729 eV    
au_eam_single_4.07.out:  a =       4.0700    alpha =  90.0000	au_eam_single_4.07.out:  Total lattice energy       =         -15.11495521 eV    
au_eam_single_4.08.out:  a =       4.0800    alpha =  90.0000	au_eam_single_4.08.out:  Total lattice energy       =         -15.11682504 eV    
au_eam_single_4.09.out:  a =       4.0900    alpha =  90.0000	au_eam_single_4.09.out:  Total lattice energy       =         -15.11506093 eV    
au_eam_single_4.10.out:  a =       4.1000    alpha =  90.0000	au_eam_single_4.10.out:  Total lattice energy       =         -15.10981159 eV    
