au_eam_vacancy_2.out:  Total lattice energy       =        -116.47313250 eV    	au_eam_supercell_2.out:  Total lattice energy       =        -120.93322047 eV    
au_eam_vacancy_3.out:  Total lattice energy       =        -403.68977899 eV    	au_eam_supercell_3.out:  Total lattice energy       =        -408.14961906 eV    
au_eam_vacancy_4.out:  Total lattice energy       =        -963.00593416 eV    	au_eam_supercell_4.out:  Total lattice energy       =        -967.46576374 eV    
au_eam_vacancy_5.out:  Total lattice energy       =       -1885.12174025 eV    	au_eam_supercell_5.out:  Total lattice energy       =       -1889.58156981 eV    
au_eam_vacancy_6.out:  Total lattice energy       =       -3260.73712258 eV    	au_eam_supercell_6.out:  Total lattice energy       =       -3265.19695214 eV    
au_eam_vacancy_7.out:  Total lattice energy       =       -5180.55198103 eV    	au_eam_supercell_7.out:  Total lattice energy       =       -5185.01182648 eV    
au_eam_vacancy_8.out:  Total lattice energy       =       -7735.26628034 eV    	au_eam_supercell_8.out:  Total lattice energy       =       -7739.72610990 eV    
